iter	Passed	Remaining
0	172	172271
1	174	87015
2	176	58692
3	180	45002
4	183	36547
5	186	30955
6	189	26894
7	192	23852
8	195	21500
9	198	19604
10	200	18030
11	203	16778
12	207	15774
13	210	14857
14	213	13991
15	215	13282
16	218	12635
17	221	12063
18	224	11569
19	226	11100
20	229	10676
21	231	10290
22	232	9895
23	235	9595
24	239	9352
25	243	9118
26	245	8831
27	246	8570
28	250	8374
29	253	8181
30	256	8025
31	259	7855
32	261	7664
33	264	7524
34	266	7361
35	268	7202
36	270	7038
37	272	6886
38	273	6738
39	274	6597
40	276	6464
41	278	6348
42	280	6240
43	282	6146
44	284	6042
45	286	5938
46	288	5841
47	289	5749
48	292	5674
49	294	5598
50	296	5515
51	298	5436
52	300	5362
53	301	5282
54	302	5203
55	304	5130
56	305	5057
57	307	4997
58	309	4933
59	310	4867
60	311	4796
61	312	4727
62	313	4662
63	314	4598
64	315	4534
65	316	4472
66	316	4412
67	317	4355
68	318	4301
69	319	4248
70	320	4195
71	322	4151
72	323	4107
73	324	4058
74	325	4010
75	326	3965
76	327	3920
77	327	3874
78	328	3830
79	329	3786
80	329	3743
81	330	3702
82	331	3658
83	331	3618
84	332	3579
85	333	3542
86	333	3504
87	334	3468
88	335	3434
89	336	3402
90	337	3373
91	338	3341
92	339	3309
93	340	3277
94	340	3246
95	341	3215
96	342	3185
97	342	3156
98	344	3130
99	344	3102
100	345	3075
101	346	3048
102	346	3021
103	347	2995
104	348	2970
105	349	2950
106	350	2926
107	351	2906
108	353	2886
109	354	2866
110	355	2844
111	355	2822
112	356	2799
113	357	2779
114	358	2761
115	360	2743
116	360	2721
117	361	2703
118	362	2685
119	363	2668
120	365	2651
121	365	2631
122	367	2618
123	368	2603
124	369	2587
125	370	2569
126	371	2551
127	372	2536
128	373	2519
129	374	2503
130	374	2485
131	375	2468
132	376	2451
133	376	2435
134	377	2419
135	378	2403
136	379	2388
137	379	2372
138	380	2356
139	381	2341
140	382	2330
141	383	2314
142	383	2301
143	384	2286
144	385	2272
145	386	2258
146	386	2244
147	387	2231
148	388	2217
149	389	2204
150	389	2192
151	390	2179
152	391	2166
153	392	2153
154	392	2141
155	393	2129
156	394	2116
157	394	2104
158	395	2092
159	396	2080
160	396	2068
161	398	2059
162	399	2049
163	399	2038
164	400	2027
165	401	2017
166	402	2006
167	402	1995
168	403	1984
169	404	1974
170	405	1965
171	406	1954
172	407	1945
173	407	1936
174	408	1926
175	409	1916
176	410	1906
177	410	1897
178	411	1888
179	412	1881
180	414	1873
181	415	1865
182	416	1857
183	416	1848
184	417	1839
185	418	1830
186	419	1821
187	419	1812
188	420	1804
189	421	1795
190	421	1787
191	422	1778
192	423	1770
193	424	1761
194	424	1753
195	425	1745
196	426	1738
197	427	1732
198	428	1725
199	430	1722
200	431	1715
201	432	1708
202	433	1700
203	433	1693
204	434	1685
205	435	1678
206	436	1672
207	437	1665
208	438	1657
209	438	1650
210	439	1643
211	440	1636
212	440	1629
213	441	1622
214	442	1615
215	444	1611
216	445	1606
217	446	1600
218	447	1594
219	447	1588
220	448	1581
221	449	1575
222	450	1568
223	450	1562
224	451	1555
225	452	1549
226	453	1542
227	453	1536
228	454	1530
229	456	1526
230	456	1520
231	458	1516
232	459	1512
233	460	1506
234	461	1501
235	462	1496
236	463	1491
237	464	1485
238	464	1479
239	465	1473
240	466	1467
241	466	1462
242	467	1456
243	468	1450
244	469	1445
245	469	1439
246	470	1433
247	471	1428
248	472	1424
249	473	1419
250	474	1414
251	474	1409
252	475	1404
253	476	1399
254	477	1394
255	477	1388
256	478	1383
257	479	1379
258	480	1374
259	481	1369
260	481	1364
261	482	1359
262	483	1354
263	484	1350
264	485	1345
265	486	1341
266	487	1337
267	488	1333
268	489	1328
269	489	1324
270	490	1319
271	491	1314
272	491	1309
273	492	1305
274	493	1300
275	493	1295
276	495	1292
277	496	1288
278	496	1284
279	497	1280
280	498	1275
281	499	1271
282	500	1267
283	500	1262
284	501	1259
285	503	1255
286	503	1252
287	505	1248
288	505	1244
289	506	1240
290	507	1235
291	507	1231
292	508	1227
293	509	1223
294	510	1219
295	510	1215
296	511	1211
297	512	1207
298	513	1204
299	514	1200
300	515	1197
301	516	1194
302	517	1191
303	518	1187
304	519	1184
305	520	1180
306	521	1176
307	521	1172
308	522	1168
309	523	1164
310	523	1160
311	524	1156
312	525	1153
313	526	1149
314	526	1145
315	527	1142
316	528	1138
317	529	1134
318	529	1131
319	530	1127
320	531	1124
321	532	1122
322	533	1118
323	534	1115
324	535	1112
325	536	1108
326	537	1106
327	538	1102
328	539	1099
329	539	1095
330	540	1092
331	541	1089
332	541	1085
333	542	1082
334	543	1078
335	544	1075
336	545	1072
337	545	1069
338	546	1065
339	547	1062
340	548	1060
341	549	1056
342	550	1053
343	550	1050
344	551	1047
345	552	1044
346	553	1040
347	553	1037
348	554	1034
349	555	1031
350	556	1028
351	556	1024
352	557	1021
353	558	1018
354	558	1015
355	559	1012
356	560	1009
357	561	1006
358	561	1003
359	562	1000
360	563	998
361	564	995
362	565	992
363	566	990
364	567	987
365	568	984
366	569	981
367	569	978
368	570	975
369	571	973
370	572	970
371	572	967
372	573	964
373	574	961
374	575	958
375	575	955
376	576	952
377	577	949
378	578	947
379	579	945
380	580	942
381	581	940
382	581	937
383	582	934
384	583	931
385	584	929
386	584	926
387	585	923
388	586	920
389	587	918
390	587	915
391	589	913
392	590	911
393	590	908
394	591	906
395	592	903
396	593	900
397	594	898
398	595	896
399	595	893
400	597	892
401	598	889
402	598	887
403	599	884
404	600	882
405	601	879
406	601	876
407	602	874
408	603	871
409	603	869
410	604	866
411	605	864
412	606	861
413	606	859
414	607	856
415	609	855
416	610	853
417	611	851
418	612	848
419	612	846
420	613	843
421	614	841
422	615	839
423	615	836
424	616	834
425	617	831
426	617	829
427	618	826
428	619	824
429	620	822
430	620	819
431	621	817
432	622	815
433	623	812
434	624	811
435	625	809
436	626	807
437	627	804
438	627	802
439	628	800
440	629	797
441	630	795
442	630	793
443	631	790
444	632	788
445	632	786
446	633	784
447	634	781
448	635	779
449	636	777
450	636	775
451	637	773
452	638	771
453	639	769
454	640	767
455	641	765
456	642	762
457	642	760
458	643	758
459	644	756
460	645	754
461	645	752
462	646	750
463	647	747
464	648	745
465	648	743
466	649	741
467	650	739
468	651	737
469	651	735
470	652	733
471	653	731
472	654	729
473	655	727
474	656	725
475	657	723
476	658	721
477	659	719
478	659	717
479	660	715
480	661	713
481	661	711
482	663	710
483	664	708
484	664	705
485	665	703
486	666	701
487	667	700
488	668	698
489	669	696
490	670	695
491	671	693
492	672	691
493	673	689
494	673	687
495	674	685
496	675	683
497	675	681
498	676	679
499	677	677
500	678	675
501	678	673
502	680	672
503	681	670
504	681	668
505	682	666
506	683	664
507	684	662
508	685	661
509	686	659
510	687	657
511	687	655
512	688	653
513	689	651
514	690	650
515	690	648
516	691	646
517	692	644
518	693	642
519	693	640
520	694	638
521	695	636
522	696	634
523	696	633
524	697	631
525	698	629
526	699	627
527	700	625
528	701	624
529	701	622
530	702	620
531	703	618
532	704	616
533	704	615
534	706	613
535	706	611
536	707	610
537	708	608
538	709	606
539	710	605
540	711	603
541	711	601
542	712	599
543	713	597
544	714	596
545	715	594
546	716	593
547	717	591
548	718	589
549	718	588
550	719	586
551	720	584
552	720	582
553	721	580
554	722	579
555	722	577
556	723	575
557	724	574
558	725	572
559	726	571
560	727	569
561	728	567
562	729	566
563	731	565
564	732	563
565	733	562
566	734	560
567	734	558
568	735	557
569	736	555
570	737	553
571	738	552
572	738	550
573	739	548
574	740	547
575	741	545
576	741	543
577	742	542
578	743	540
579	744	538
580	744	537
581	745	535
582	747	534
583	748	532
584	748	531
585	749	529
586	750	528
587	751	526
588	752	524
589	753	523
590	754	522
591	755	520
592	756	519
593	757	517
594	758	515
595	758	514
596	759	512
597	760	511
598	761	509
599	762	508
600	763	506
601	764	505
602	765	503
603	766	502
604	767	501
605	768	499
606	769	498
607	770	496
608	771	495
609	772	493
610	773	492
611	774	490
612	774	489
613	775	487
614	776	486
615	777	484
616	778	483
617	780	482
618	780	480
619	781	479
620	782	477
621	783	475
622	783	474
623	784	472
624	785	471
625	786	469
626	787	468
627	788	467
628	789	465
629	790	464
630	791	462
631	792	461
632	793	460
633	795	458
634	796	457
